data 2021-01-22 09:58:00 , accessi 217 , mappa:  185 , grafico:  122 , downdati:  122 , downgrafico:  122
data 2021-01-22 09:58:39 , accessi 217 , mappa:  185 , grafico:  123 , downdati:  122 , downgrafico:  122
data 2021-01-22 09:58:39 , accessi 217 , mappa:  185 , grafico:  123 , downdati:  123 , downgrafico:  122
data 2021-01-22 09:58:39 , accessi 217 , mappa:  185 , grafico:  123 , downdati:  123 , downgrafico:  123
data 2021-01-22 09:59:18 , accessi 217 , mappa:  185 , grafico:  124 , downdati:  123 , downgrafico:  123
data 2021-01-22 09:59:18 , accessi 217 , mappa:  185 , grafico:  124 , downdati:  124 , downgrafico:  123
data 2021-01-22 09:59:18 , accessi 217 , mappa:  185 , grafico:  124 , downdati:  124 , downgrafico:  124
data 2021-01-22 09:59:57 , accessi 217 , mappa:  185 , grafico:  125 , downdati:  124 , downgrafico:  124
data 2021-01-22 09:59:57 , accessi 217 , mappa:  185 , grafico:  125 , downdati:  125 , downgrafico:  124
data 2021-01-22 09:59:57 , accessi 217 , mappa:  185 , grafico:  125 , downdati:  125 , downgrafico:  125
data 2021-01-22 10:00:42 , accessi 217 , mappa:  185 , grafico:  126 , downdati:  125 , downgrafico:  125
data 2021-01-22 10:00:42 , accessi 217 , mappa:  185 , grafico:  126 , downdati:  126 , downgrafico:  125
